id;name;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
-1;Northern Cyprus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-2;Kosovo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-3;Somaliland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Afghanistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Albania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Antarctica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Algeria;27;35;33;36;38;43;49;54;59;66;73;85;95;100;119;121;131;138;156;172;177;181;183;183;193;213;208;211;209;203;197;186;186;193;186;191;198;221;230;239;250;258;286;309;327;327;345;367
16;American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Andorra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Angola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Antigua and Barbuda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Azerbaijan;;;;;;;;;;;;;;;;;;;;;160;168;158;162;158;166;160;156;151;140;126;112;107;112;107;120;79;73;84;88;106;96;91;74;73;71;89;93
32;Argentina;433;448;460;469;491;447;479;478;481;481;455;471;495;496;527;488;457;439;448;425;388;448;476;475;435;412;425;448;446;432;430;446;449;458;430;431;425;394;405;425;449;471;523;534;522;557;598;612
36;Australia;346;370;404;439;454;500;527;536;574;608;604;617;648;650;662;634;629;621;596;619;600;620;631;656;683;702;681;687;726;755;785;802;831;831;845;838;846;844;854;863;896;929;936;949;943;962;1007;1019
40;Austria;107;119;126;145;159;176;197;213;231;208;211;227;219;237;246;240;220;209;204;199;200;210;217;216;214;223;241;235;237;235;233;240;245;254;250;243;264;270;292;283;287;291;276;274;264;276;259;257
44;Bahamas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Bahrain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Bangladesh;;;;;;;;15;18;19;23;24;24;26;29;32;32;30;27;32;34;35;34;38;41;39;35;37;43;45;59;60;69;77;68;66;80;80;83;86;89;89;86;84;78;86;108;114
51;Armenia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Barbados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Belgium;;319;350;405;468;512;525;567;598;529;504;524;517;551;551;506;466;441;404;392;400;450;455;466;460;487;523;536;525;578;576;623;638;645;619;633;640;650;688;680;679;671;676;747;650;672;662;636
60;Bermuda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Bhutan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Bolivia, Plurinational State of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Bosnia and Herzegovina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Botswana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Bouvet Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Brazil;307;336;347;415;461;523;582;668;823;887;918;984;1017;1127;1200;1163;1124;1168;1153;1192;1241;1402;1448;1483;1518;1478;1504;1552;1614;1721;1799;1897;2016;2085;2138;2056;2042;2031;1973;2050;2097;2134;2286;2439;2467;2676;2740;2805
84;Belize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
